Curation	Scientist	Institution	Language of submission	Date of submission	Crop	Trait ID	Trait	Entity	Attribute	Trait synonyms	Trait abbreviations	Trait description	Trait class	Trait status	Trait Xref	Method ID	Method	Method description	Formula	Method class	Method reference	Scale id	Scale name	Scale class	Decimal places	Lower limit	Upper limit	Scale Xref	Category 1	Category 2	Category 3	Category 4	Category 5	Category 6	Category 7	Category 8	Category 9	Category 10	Category 11	Category 12	Category 13	Variable ID	Variable name	Variable synonyms	Context of use	Growth stage	Variable status	Variable Xref	
		IRRI	EN		Rice	CO_320:0000155	culm diameter	Culm	Diameter	"stem thickness, basal internode diameter"	"CulmDiam, CUDI, DBI"	Diameter of basal portion of the main culm 	Morphological		"TO:0001035, IRIS:1545"	CM_320:0000551	average culm diameter - wild species	"Wild species: measure the diameter of the basal portion of the main culm, taking the average of five representative plants "		Computation	"IRIS:584, IRIS_SCALE:591, RD:7.3.27"	CS_320:0000541	culm diameter scale wild	Nominal					1= Thin <5 mm	2= Thick >= 5 mm												CV_320:0000694	CulmDiam_WildAv_1or2	CMD				"IRIS:584, IRIS_SCALE:591, RD:7.3.27"	
		IRRI	EN		Rice	CO_320:0000155	culm diameter	Culm	Diameter	"stem thickness, basal internode diameter"	"CulmDiam, CUDI, DBI"	Diameter of basal portion of the main culm 	Morphological		"TO:0001035, IRIS:1545"	CM_320:0000416	average culm diameter - cultivated species	"Cultivated species: measure the diameter of the basal portion of the main culm, taking the average of three representative plants "		Computation	"IRIS:645, IRIS:315, IRIS_SCALE:647, RD:7.3.27, SES:107"	CS_320:0000417	mm	Numerical																		CV_320:0000695	CulmDiam_CultAv_mm	CMD				"IRIS:645, IRIS:315, IRIS_SCALE:647, RD:7.3.27, SES:107"	
		IRRI	EN		Rice	CO_320:0000155	culm diameter	Culm	Diameter	"stem thickness, basal internode diameter"	"CulmDiam, CUDI, DBI"	Diameter of basal portion of the main culm 	Morphological		"TO:0001035, IRIS:1545"	CM_320:0000551	average culm diameter - wild species	"Wild species: measure the diameter of the basal portion of the main culm, taking the average of five representative plants "		Computation	"IRIS:584, IRIS_SCALE:647, RD:7.3.27"	CS_320:0000542	mm	Numerical																		CV_320:0000696	CulmDiam_WildAv_mm	CMD				"IRIS:584, IRIS_SCALE:647, RD:7.3.27"	
	TTC-GRC	IRRI	EN		Rice	CO_320:0000016	culm internode anthocyanin	Culm internode	Anthocyanin content	stem internode anthocyanin	CulmINodAnth	"Purplish markings, if any, on internodes on the culm/stem attributable to anthocyanin"	Morphological			CM_320:0000278	culm internode anthocyanin examination	"Examine the presence and distribution of purple colour from anthocyanin, on the outer surface of the internodes on the culm. Compare against a colour chart or colour-accurate photographs of references. "		Estimation	"RD:7.3.30, UPOV:29"	CS_320:0000489	culm internode anthocyanin presence scale	Ordinal					1= Absent	9= Present												CV_320:0000697	CulmINodAnth_Est_1to9					UPOV:29	
		IRRI	EN		Rice	CO_320:0000016	culm internode anthocyanin	Culm internode	Anthocyanin content	stem internode anthocyanin	CulmINodAnth	"Purplish markings, if any, on internodes on the culm/stem attributable to anthocyanin"	Morphological			CM_320:0000278	culm internode anthocyanin examination	"Examine the presence and distribution of purple colour from anthocyanin, on the outer surface of the internodes on the culm. Compare against a colour chart or colour-accurate photographs of references. "		Estimation	"RD:7.3.30, UPOV:29"	CS_320:0000279	culm internode anthocyanin scale	Nominal					0= 000= Absent	1= 080= Purple	2= 084= Purple lines											CV_320:0000698	CulmINodAnth_Est_0to2					RD:7.3.30	
		IRRI	EN		Rice	CO_320:0000493	culm internode color	Culm internode	Colour	stem internode color	CulmINodCol	Color of the internodes on the culm/stem.  	Morphological	Obsolete	"TO:0000426, IRIS:1064"	CM_320:0000552	culm internode color	Observe the colour of the internodes on the culm 		Estimation	"IRIS:208, SES:108"	CS_320:0000543		Nominal					1= Green	2= Light gold	3= Purple lines	4= Purple										CV_320:0000699	CulmINodCol_Est_1to4	CMIC			Obsolete	"IRIS:208, SES:108"	
		IRRI	EN		Rice	CO_320:0000494	culm internode underlying colour	Culm internode	Underlying colour	stem internode underlying colour	CulmINodUnderCol	Colour of internodes on the culm/stem underlying any anthocyanin markings	Morphological			CM_320:0000553	culm internode underlying colour examination	"If visible under any anthocyanin colouration, examine the underlying colour of the outer surface of the internodes on the culm. Compare against a colour chart or colour-accurate photographs of references."		Estimation	RD:7.3.31	CS_320:0000544	culm internode underlying colour scale	Nominal					0= 000= Not visible under overlying anthocyanin	1= 041= Light gold	2= 060= Green											CV_320:0000700	CulmINodUnderCol_Est_0to2	INCO				RD:7.3.31	
		IRRI	EN		Rice	CO_320:0000030	culm length	Culm	Length	stem length	"CulmLng, CULT"	"Length of the main culm (stem), defined as the distance from the soil surface to the base of the panicle "	Morphological		"TO:0000576, IRIS:1079"	CM_320:0000229	average culm length	Measure distance from soil surface to base of panicle on the main culm of 5 plants. Take the average		Computation	"IRIS:312, IRIS_SCALE:646, RD:7.3.25, UPOV:26, IRIS_SCALE:44, SES:104"	CS_320:0000230	culm length scale	Ordinal					1= Very short <50 cm	2= Very short to short 51-70 cm	3= Short 71-90 cm	4= Short to intermediate 91-105 cm	5= Intermediate 106 -120 cm	6= Intermediate to long 121-140 cm	7= Long 141-155 cm	8= Long to very long 156-180 cm	9= Very long >180 					CV_320:0000701	CulmLng_Av_1to7	CML				"IRIS:312, IRIS_SCALE:646, RD:7.3.25, UPOV:26"	
		IRRI	EN		Rice	CO_320:0000030	culm length	Culm	Length	stem length	"CulmLng, CULT"	"Length of the main culm (stem), defined as the distance from the soil surface to the base of the panicle "	Morphological		"TO:0000576, IRIS:1079"	CM_320:0000229	average culm length	Measure distance from soil surface to base of panicle on the main culm of 5 plants. Take the average 		Computation	"IRIS:312, IRIS_SCALE:646, RD:7.3.25, UPOV:26, IRIS_SCALE:44, SES:104"	CS_320:0000234	cm	Numerical																		CV_320:0000702	CulmLng_Av_cm	CML				"IRIS:312, IRIS_SCALE:44, RD:7.3.25, SES:104"	
	TTC-GRC	IRRI	EN		Rice	CO_320:0000495	culm node anthocyanin	Culm node	Anthocyanin content	Stem node anthocyanin	CulmNodAnth	"Purplish markings, if any, on nodes on the culm/stem attributable to anthocyanin"	Morphological			CM_320:0000554	culm node anthocyanin presence	Estimate the presence/absence of purple colour from anthocyanin on the nodes on the culm. 		Estimation	UPOV:27	CS_320:0000545	culm node anthocyanin presence scale	Ordinal					1= Absent	9= Present												CV_320:0000703	CulmNodAnth_PresEst_1to9					UPOV:27	
	TTC-GRC	IRRI	EN		Rice	CO_320:0000495	culm node anthocyanin	Culm node	Anthocyanin content	Stem node anthocyanin	CulmNodAnth	"Purplish markings, if any, on nodes on the culm/stem attributable to anthocyanin"	Morphological			CM_320:0000555	culm node anthocyanin intensity	Observe the intensity of purple colour from anthocyanin on the nodes on the culm. 		Estimation	UPOV:28	CS_320:0000546	culm node anthocyanin intensity scale	Ordinal					3= weak	5= medium	7= strong											CV_320:0000704	CulmNodAnth_IntensEst_1to9					UPOV:28	
		IRRI	EN		Rice	CO_320:0000495	culm node anthocyanin	Culm node	Anthocyanin content	Stem node anthocyanin	CulmNodAnth	"Purplish markings, if any, on nodes on the culm/stem attributable to anthocyanin"	Morphological			CM_320:0000556	culm node anthocyanin distribution	"Examine the presence and distribution of purple colour from anthocyanin, on the outer surface of the nodes on the culm. Compare against a colour chart or colour-accurate photographs of references."		Estimation	"RD:7.3.28, UPOV:27+28"	CS_320:0000547	culm node anthocyanin scale	Nominal					0= 000= Absent	1= 080= Purple	2= 081= Light purple	3= 084= Purple lines										CV_320:0000705	CulmNodAnth_DistrEst_0to3					"RD:7.3.28, UPOV:27+28"	
		IRRI	EN		Rice	CO_320:0000154	culm node underlying colour	Culm node	Underlying colour		CulmNodUndCol	Colour of nodes on the culm/stem underlying any anthocyanin markings	Morphological			CM_320:0000557	culm node underlying colour examination	"If visible under any anthocyanin colouration, examine the underlying colour of the outer surface of the nodes on the culm. Compare against a colour chart or colour-accurate photographs of references. "		Estimation	RD:7.3.29	CS_320:0000548	culm node underlying colour scale	Nominal					0= 000= Not visible under overlying anthocyanin	1= 041= Light gold	2= 060= Green											CV_320:0000706	CulmNodUndCol_Est_0to2	NOCO				RD:7.3.29	
		IRRI	EN		Rice	CO_320:0000496	culm number	Culm	Number		"CulmNo, CUNO"	total number of reproductive and non-reproductive tillers after full heading	Morphological		TO:0000027	CM_320:0000558	culm number measurement per plant	Count the total number of grain-bearing and non-bearing tillers on five plants and calculate the average		Computation	"IRIS:25, RD:7.3.26, SES:105"	CS_320:0000549	number of tillers	Numerical																		CV_320:0000707	CulmNo_Av_Culm	CMN				"IRIS:25, RD:7.3.26, SES:105"	
		IRRI	EN		Rice	CO_320:0000084	culm strength	Culm	Strength		"CulmStr, CUST"	The stiffness of the culm and its resilience to being bent over 	Agronomical		"TO:0000051, IRIS:1014"	CM_320:0000280	Culm strength estimation - RD	"Gently push tillers back and forth a few times, at a distance of 30 cm from the ground "		Estimation	"IRIS:642, IRIS_SCALE:643, RD:7.3.33"	CS_320:0000281	Culm strength scale RD	Ordinal					1= Very weak	3= Weak	5= Intermediate	7= Strong	9= Very strong									CV_320:0000708	CulmStr_EstRD_1to9	"CS, CUST"				"IRIS:642, IRIS_SCALE:643, RD:7.3.33"	
		IRRI	EN		Rice	CO_320:0000084	culm strength	Culm	Strength		"CulmStr, CUST"	The stiffness of the culm and its resilience to being bent over 	Agronomical		"TO:0000051, IRIS:1014"	CM_320:0000320	Culm strength estimation - SES	"Gently push tillers back and forth a few times, at a distance of 30 cm from the ground at intervals from harvest to maturity "		Estimation	"IRIS:209, IRIS_SCALE:201, SES:3"	CS_320:00000321	Culm strength scale SES	Ordinal					1= Strong no bending	3= Moderately strong most plants bending	5= Intermediate most plants moderately bending	7= Weak most plants nearly flat	9= Very weak all plants flat									CV_320:0000709	CulmStr_EstSES_1to9	"CS, CUST"				"IRIS:209, IRIS_SCALE:201, SES:3"	
		IRRI	EN		Rice	CO_320:0000088	Time to heading	Plant	Time to heading	"days to flowering,  time of heading"	"HeadT, FLW"	Time elapsed from the effective date of seeding to flowering (heading) 	Agronomical		"TO:0000344, IRIS:1013"	CM_320:0000443	days to 80% flowering count	Calculate as the difference between the main heading date and the date of effective seeding 		Computation	"IRIS:640, RD:7.2.3.1"	CS_320:0000444	Days	Duration																		CV_320:0000710	HeadT_80Comp_d	"HDG, FLW"				"IRIS:640, RD:7.2.3.1"	
		IRRI	EN		Rice	CO_320:0000088	Time to heading	Plant	Time to heading	"days to flowering,  time of heading"	"HeadT, FLW"	Time elapsed from the effective date of seeding to flowering (heading) 	Agronomical		IRIS:1013	CM_320:0000559	Time of 50% heading estimation	"Estimate the earliness of the heading in plots, defining time of heading as the date when 50% of plants have panicles halfway emerged "		Estimation	UPOV:19	CS_320:0000550	Time of 50% heading scale	Ordinal					1= very early	3= early	5= medium	7= late										CV_320:0000711	HeadT_50Est_1to7	"HDG, FLW"				UPOV:19	
		IRRI	EN		Rice	CO_320:0000060	drought injury	Drought	Injury	drought sensitivity	DhtInj	"The extent to which plant growth is adversely affected by drought. Leaf rolling precedes leaf drying during drought. Response to drought is highly responsive to crop phenology, plant growth prior to stress, and the timing, duration, and intensity of drought stress. For many soils, it takes at least 2 rainless weeks during the vegetative stage to cause marked differences in response and at least 7 rainless days during the reproductive stage to cause severe drought injury. Repeated ratings are recommended through progress of the drought. Record the stage of plant growth when the stress occurred and the number of stress days. "	Abiotic stress		"TO:0000188, IRIS:1208"	CM_320:0000560	drought estimation leaf drying	estimate the extent to which leaves dry on exposure to drought 		Estimation	"IRIS:116, IRIS_SCALE:125, SES:80"	CS_320:0000551	drought scale leaf drying	Ordinal					0= No symptoms	1= Slight tip drying	3= Tip drying extended up to 1/4 length in most leaves	5= One-fourth to 1/2 of all leaves dried	7= More than 2/3 of all leaves fully dried	9= All plants apparently dead 								CV_320:0000712	DhtInj_EstDry_0to9	DRS_DRY_0_9				"IRIS:116, IRIS_SCALE:125, SES:80"	
		IRRI	EN		Rice	CO_320:0000060	drought injury	Drought	Injury	drought sensitivity	DhtInj	"The extent to which plant growth is adversely affected by drought. Leaf rolling precedes leaf drying during drought. Response to drought is highly responsive to crop phenology, plant growth prior to stress, and the timing, duration, and intensity of drought stress. For many soils, it takes at least 2 rainless weeks during the vegetative stage to cause marked differences in response and at least 7 rainless days during the reproductive stage to cause severe drought injury. Repeated ratings are recommended through progress of the drought. Record the stage of plant growth when the stress occurred and the number of stress days. "	Abiotic stress		"TO:0000188, IRIS:1208"	CM_320:0000402	drought estimation leaf rolling	estimate the extent of leaf rolling on exposure to drought 		Estimation	"IRIS:116, IRIS_SCALE:180, SES:80"	CS_320:0000403	drought scale leaf rolling	Nominal					0= Leaves healthy	1= Shallow leaf folding	3= Leaves partly folded in deep V-shape	5= Leaves fully cupped in U-shape	7= Leaf margins touching forming O-shape	9= Leaves tightly rolled 								CV_320:0000713	DhtInj_EstRoll_0to9	DRS_DRY_0_9				"IRIS:116, IRIS_SCALE:180, SES:80"	
		IRRI	EN		Rice	CO_320:0000060	drought injury	Drought	Injury	drought sensitivity	DhtInj	"The extent to which plant growth is adversely affected by drought. Leaf rolling precedes leaf drying during drought. Response to drought is highly responsive to crop phenology, plant growth prior to stress, and the timing, duration, and intensity of drought stress. For many soils, it takes at least 2 rainless weeks during the vegetative stage to cause marked differences in response and at least 7 rainless days during the reproductive stage to cause severe drought injury. Repeated ratings are recommended through progress of the drought. Record the stage of plant growth when the stress occurred and the number of stress days. "	Abiotic stress		"TO:0000188, IRIS:1208"	CM_320:0000561	drought estimation spikelet sterility	estimate the proportion of spikelet fertility after exposure to drought 		Estimation	"IRIS:116, IRIS_SCALE:182, SES:80"	CS_320:0000552	drought scale spikelet sterility	Ordinal					1= More than 80% spikelets fertile	3= 61-80%	5= 41-60%	7= 11-40%	9= Less than 11% 									CV_320:0000714	DhtInj_EstSpkFert_0to9	DRS_DRY_0_9				"IRIS:116, IRIS_SCALE:182, SES:80"	
		IRRI	EN		Rice	CO_320:0000058	drought recovery	Drought	Recovery		DhtRecov	The extent to which plants recover when soaked with water after exposure to drought. The extent of recovery depends strongly on the severity of drought. 	Abiotic stress		"TO:0000458, IRIS:1205"	CM_320:0000404	drought recovery estimation	"10 days after soaking rain or watering ends a period of drought, estimate the % of plants that recover. Indicate the degree of drought stress before watering "		Estimation	SES:80	CS_320:0000405	drought recovery scale	Ordinal					1= 90-100%	3= 70-89%	5= 40-69%	7= 20-39%	9= 0-19% 									CV_320:0000715	DhtRecov_Est_0to9	DRT7_DRY_0_9				SES:80	
		IRRI	EN		Rice	CO_320:0000497	endosperm type	Endosperm	Type		EndoType	A broad classification of the type of endosperm based on the presence or absence of amylose	Quality			CM_320:0000562	Endosperm type assessment	"Stain polished (milled, white) rice grains with a weak KI-I solution, prepared by mixing 0.1% I2 solution with 0.2% KI solution, and observe the colour of the stained endosperm "		Estimation	"IRIS:259, RD:7.5.24, UPOV:62, SES:123"	CS_320:0000553	Endosperm type scale	Ordinal					"1= Non-glutinous (non-waxy, stains dark blue purple)"	2= Intermediate (stains reddish-blue purple)	"3= Glutinous (waxy, stains reddish purple)"											CV_320:0000716	EndoType_Est_1to3	ENDO				"IRIS:259, RD:7.5.24, UPOV:62, SES:123"	
		IRRI	EN		Rice	CO_320:0000178	false smut	false smut	Incidence	false smut	FSmut	The type and severity of false smut symptoms caused by Ustilaginoidea virens.  Symptoms: Infected grains are transformed into yellow-greenish or greenish-black velvety-looking spore balls. 	Biotic stress		"TO:0000129, IRIS:1106"	CM_320:0000362	false smut incidence estimation	Estimate the proportion of spikelets that are infected 		Estimation	"IRIS:56, SES:40"	CS_320:0000362	false smut incidence scale	Ordinal					0= No disease observed	1= Less than 1%	2=	3= 1-5%	4=	5= 6-25%	6=	7= 26-50%	8=	9= 51-100% 				CV_320:0000717	FSmut_Est_0to9	FALSE_SMUT				"IRIS:56, SES:40"	
		IRRI	EN		Rice	CO_320:0000098	fertility restoration	Plant	Fertility restoration		FertRest	This is a compound trait used for F1 hybrids combining the proportion of fertile spikelets  at maturity with the proportion of fertile pollen at anthesis 	Fertility		IRIS:1029	CM_320:0000338	fertility restoration evaluation	"Step 1 (pollen fertility: see pollen sterility score): Collect pollen from at least ten florets at anthesis, fix in 70% alcohol. Place 2-3 anthers from each of five florets on a glass slide, and squeeze the pollen out in a drop of 1% iodine potassium iodide (I2-KI) solution with a spear-shaped needle. Using a microscope at magnification 10x10, count fertile and sterile grains in at least three microscopic fields, calculate the percentage that are fertile, and score. Step 2 (spikelet fertility): count the number of filled grains andtotal spikelets per panicle and convert into percentage fertile. Score the combination of pollen fertility with spikelet fertility "		Computation	SES:27	CS_320:0000339	fertility restoration scale	Nominal					1= pollen and spikelets both 90% fertile or above	"2= pollen 80-89% fertile, spikelets 90% fertile or above"	"3= pollen 90% fertile or above, spikelets 75-89% fertile"	"4= pollen 80-89% fertile, spikelets 75-89% fertile"	"5= pollen 70-79% fertile, spikelets 75-89% fertile"	"6= pollen 70-79% fertile, spikelets 60-74% fertile"	"7= pollen 60-69% fertile, spikelets 60-74% fertile"	9= pollen and spikelets both <60% fertile						CV_320:0000718	FertRest_Comp_1to9	FREST				SES:27	
		IRRI	EN		Rice	CO_320:0000017	flag leaf angle	Flag leaf	Angle	flag leaf attitude	FlgLfAng	The angle of attachment between the flag leaf blade and the main panicle axis 	Morphological		"TO:0000124, IRIS:1065"	CM_320:0000274	flag leaf angle estimation cult early	"Cultivated species: at anthesis, estimate the angle of attachment between the flag leaf blade and the main panicle axis, near to the collar of the leaf. Record the average of five flag leaves "		Computation	"IRIS:211, RD:7.3.22, SES:98, UPOV:15"	CS_320:0000275	flag leaf angle scale cult early	Ordinal					1= Erect	3= Semi-erect (intermediate)	5= Horizontal	7= Descending										CV_320:0000719	FlgLfAng_EarlAv_1to7	FLA				"IRIS:211, RD:7.3.22, SES:98, UPOV:15"	
		IRRI	EN		Rice	CO_320:0000017	flag leaf angle	Flag leaf	Angle	flag leaf attitude	FlgLfAng	The angle of attachment between the flag leaf blade and the main panicle axis 	Morphological		"TO:0000124, IRIS:1065"	CM_320:0000453	flag leaf angle estimation wild	"Wild species: 7 days after anthesis, estimate the angle of attachment between the flag leaf blade and the main panicle axis, near to the collar of the leaf. Record the average of five flag leaves "		Computation	"IRIS:576, RD:7.3.22"	CS_320:0000454	flag leaf angle scale wild	Ordinal					1= Erect	3= Semi-erect (intermediate)	5= Horizontal	7= Descending										CV_320:0000720	FlgLfAng_WildAv_1to7	FLA				"IRIS:576, RD:7.3.22"	
		IRRI	EN		Rice	CO_320:0000017	flag leaf angle	Flag leaf	Angle	flag leaf attitude	FlgLfAng	The angle of attachment between the flag leaf blade and the main panicle axis 	Morphological		"TO:0000124, IRIS:1065"	CM_320:0000563	flag leaf angle estimation cult late	"Cultivated species: at anthesis, estimate the angle of attachment between the flag leaf blade and the main panicle axis, near to the collar of the leaf. Record the average of five flag leaves "		Computation	"IRIS:637, RD:7.3.34, UPOV:16"	CS_320:0000554	flag leaf angle scale cult late	Ordinal					1= Erect	3= Semi-erect (intermediate)	5= Horizontal	7= Descending										CV_320:0000721	FlgLfAng_LateAv_1to7	FLA				"IRIS:637, RD:7.3.34, UPOV:16"	
		IRRI	EN		Rice	CO_320:0000138	flag leaf length	Flag leaf	Length		"FlgLfLng, FLLT"	Length of flag leaf  	Morphological		"TO:0002757, IRIS:1524"	CM_320:0000270	Average flag leaf length	"Measure length of the flag leaf, from the ligule to the tip of the blade, on five representative plants. Calculate average "		Computation	"IRIS:575, RD:7.3.20"	CS_320:0000271	cm	Numerical																		CV_320:0000722	FlgLfLng_Av_cm	FGLL				"IRIS:575, RD:7.3.20"	
		IRRI	EN		Rice	CO_320:0000137	flag leaf width	Flag leaf	Width		"FlgLfWdt, FLWD"	Width of flag leaf  	Morphological		"TO:0002757, IRIS:1523"	CM_320:0000272	Average flag leaf width	Measure width at the widest portion of the flag leaf on five representative plants. Calculate average 		Computation	"IRIS:573, RD:7.3.21"	CS_320:0000273	cm	Numerical																		CV_320:0000723	FlgLfWdt_Av_cm	FGLW				"IRIS:573, RD:7.3.21"	
		IRRI	EN		Rice	CO_320:0000498	flowering date	Plant	flowering date	heading date	FlwDate	Date of flowering	Agronomical			CM_320:0000564	First heading date observation	"Monitor developing plants daily, and record the date on which first flush of flowering heads appear "		Measurement	RD:7.2.2.2	CS_320:0000555	ISO Date (yyyy-mm-dd)	Date																		CV_320:0000724	FlwDate_1stFlw_Date	FLW_DATE				RD:7.2.2.2	
		IRRI	EN		Rice	CO_320:0000498	flowering date	Plant	flowering date	heading date	FlwDate	Date of flowering	Agronomical			CM_320:0000565	Main flowering date observation	"Monitor developing plants daily, and record the date on which 80% of the flowering heads have appeared "		Measurement	RD:7.2.3.2	CS_320:0000556	ISO Date (yyyy-mm-dd)	Date																		CV_320:0000725	FlwDate_80Flw_Date	FLW_DATE				RD:7.2.3.2	
		IRRI	EN		Rice	CO_320:0000199	gall midge damage	Gall midge	Damage	gall midge	GallMidgeDam	The extent of plant damage caused by gall midge (Orseolia oryzae).  Symptoms: light-colored tubular galls resembling an onion leaf on the youngest leaf of the shoot in a tiller. 	Biotic stress		"TO:0000423, IRIS:1155"	CM_320:0000566	gall midge injury assessment greenhouse	"In a greenhouse test, observe the proportion of plants with silver shoots. For the greenhouse test to be considered a valid measure of resistance, 60% of the plants of the susceptible check should show silver shoots "		Estimation	SES:65	CS_320:0000557	gall midge injury scale greenhouse	Ordinal					0= No injury	1= Less than 5%	3= 6-10%	5= 11-20%	7= 21-50%	9= More than 50% 								CV_320:0000726	GallMidgeDam_EstGH_0to9	GALL_MIDGE_DAMAGE				SES:65	
		IRRI	EN		Rice	CO_320:0000199	gall midge damage	Gall midge	Damage	gall midge	GallMidgeDam	The extent of plant damage caused by gall midge (Orseolia oryzae).  Symptoms: light-colored tubular galls resembling an onion leaf on the youngest leaf of the shoot in a tiller. 	Biotic stress		"TO:0000423, IRIS:1155"	CM_320:0000382	gall midge injury assessment field	"In a field test, observe the proportion of infected tillers. For the field test to be considered a valid measure of resistance, more than 60% of the plants of the susceptible check should be affected with not less than 15% silver shoot "		Estimation	SES:65	CS_320:0000383	gall midge injury scale field	Ordinal					0= No injury or fewer than 10% of plants have injured tillers	1= Less than 1%	3= 1-5%	5 6-10%	7= 11-25%	9= More than 25%								CV_320:0000727	GallMidgeDam_EstFld_0to9	GALL_MIDGE_DAMAGE				SES:65	
		IRRI	EN		Rice	CO_320:0000106	gel consistency	Gel	Consistency		GelC	"Describes the consistency of a rice gel formed by grinding, chemically treating, boiling, and cooling a sample of grains. This measures the tendency of cooked rice to harden on cooling, a function of carbohydrate composition  "	Quality		" TO:0000211, IRIS:1255"	CM_320:0000244	gel consistency lab measurement	"Place 0.1g ground rice in a test tube with thymol blue (0.025% in ethanol, 0.2 ml) and KOH (0.2N, 2 ml). Shake the tube to mix contents, boil (8 min), rest (5 min) and then place in an ice-bath (15 min). Lay cooled tubes flat on graph paper for 1 hour, and then measure the distance that the gel travels . Included standards, as the age of the rice, degree of milling and operator skill affect reproducibility: IR48 (85Ð90 mm), IR32 (72-75 mm) and IR42 (30-32 mm)."		Measurement	"IRIS:35, RD:8.1.6, SES:132"	CS_320:0000245	gel consistency scale	Ordinal					1= Soft 81-100 mm	2= Soft 61-80 mm	3= Intermediate 41-60 mm	4= Hard 36-40 mm	5= Hard <36 mm									CV_320:0000728	GelC_Meas_1to5	GELC				"IRIS:35, RD:8.1.6, SES:132"	
		IRRI	EN		Rice	CO_320:0000106	gel consistency	Gel	Consistency		GelC	"Describes the consistency of a rice gel formed by grinding, chemically treating, boiling, and cooling a sample of grains. This measures the tendency of cooked rice to harden on cooling, a function of carbohydrate composition  "	Quality		" TO:0000211, IRIS:1255"	CM_320:0000244	gel consistency lab measurement	"Place 0.1g ground rice in a test tube with thymol blue (0.025% in ethanol, 0.2 ml) and KOH (0.2N, 2 ml). Shake the tube to mix contents, boil (8 min), rest (5 min) and then place in an ice-bath (15 min). Lay cooled tubes flat on graph paper for 1 hour, and then measure the distance that the gel travels . Included standards, as the age of the rice, degree of milling and operator skill affect reproducibility: IR48 (85Ð90 mm), IR32 (72-75 mm) and IR42 (30-32 mm)."		Measurement	"IRIS:35, RD:8.1.6, SES:132"	CS_320:0000456	mm	Numerical																		CV_320:0000729	GelC_Meas_mm	GELC				SES:132	
		IRRI	EN		Rice	CO_320:0000107	gelatinization temperature	Milled caryopsis	Gelatinization temperature		GelTemp	"Temperature at which the starch in endosperm gelatinizes, one of the key indicators of cooking quality  "	Quality		"TO:0000462, IRIS:1256"	CM_320:0000437	alkali digestion estimation	"An indirect indicator of approximate gelatinization temperature. Incubate six milled rice grains (kernels) for 23h in 10ml of 1.7% KOH. Score individual kernels, without averaging "			"IRIS:34, RD:8.1.4, SES:131"	CS_320:0000438	alkali digestion scale	Ordinal					"1= Kernel not affected but chalky, high gel temp (>74C)"	"2= Kernel swollen, high gel temp (>74C)"	"3= Kernel swollen with collar incomplete or narrow, high-intermediate gel temp"	"4= Kernel swollen with collar complete and wide, intermediate gel temp"	"5= Split or segmented with collar complete and wide, intermediate gel temp"	"6= Dispersed mergingwith collar, low gel temp (<70C)"	"7= Completely dispersed and cleared, low gel temp (<70C)"							CV_320:0000730	GelTemp_Alkd_1to7	GelTemp				"IRIS:34, RD:8.1.4, SES:131"	
		IRRI	EN		Rice	CO_320:0000107	gelatinization temperature	Milled caryopsis	Gelatinization temperature		GelTemp	"Temperature at which the starch in endosperm gelatinizes, one of the key indicators of cooking quality  "	Quality		IRIS:1256	CM_320:0000457	Peak temperature	"Gradually heat a sample of milled rice using a Differential Scanning Calorimeter (DSC), which measures the energy expended to raise the temperature of starch crystals as they gelatinize and melt. The temperature at which energy expenditure is maximum (peak temperature) provides a precise measure of gelatinization temperature. "			RD:8.1.5	CS_320:0000458	degrees C	Numerical																		CV_320:0000731	GelTemp_PkTemp_Deg	GelTemp				RD:8.1.5	
		IRRI	EN		Rice	CO_320:0000094	glume opening	Glume	Opening		GlOp	The extent to which the glumes (i.e. the lemma and palea) of a floret open during blooming 	Agronomical		"TO:0000474, IRIS:1025"	CM_320:0000544	glume opening angle	"Collect 5-10 blooming florets of a male sterile line from different plants and measure the average angle of the opening between glumes (viz., lemma and palea) "		Computation	"IRIS:167, SES:26"	CS_320:0000533	degrees	Numerical																		CV_320:0000732	GlOp_Av_deg	GLO				SES:26	
		IRRI	EN		Rice	CO_320:0000094	glume opening	Glume	Opening		GlOp	The extent to which the glumes (i.e. the lemma and palea) of a floret open during blooming 	Agronomical		"TO:0000474, IRIS:1025"	CM_320:0000544	glume opening angle	"Collect 5-10 blooming florets of a male sterile line from different plants and measure the average angle of the opening between glumes (viz., lemma and palea) "		Computation	"IRIS:167, SES:26"	CS_320:0000534	glume opening scale	Ordinal					1= above 50 degrees	3= 40-49 degrees	5= 30-39 degrees	7= 20-29 degrees	9= Below 20 degrees									CV_320:0000733	GlOp_Av_1to9	GLO				"IRIS:167, SES:26"	
