Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13
,CO_320:0000724,FlwDate_1stFlw_Date,FLW_DATE,,,,RD:7.2.2.2,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000498,flowering date,Agronomical,Date of flowering,heading date,FlwDate,,Plant,flowering date,,,CO_320:0000564,First heading date observation,Measurement,"Monitor developing plants daily, and record the date on which first flush of flowering heads appear",,RD:7.2.2.2,CO_320:0000969,ISO Date (yyyy-mm-dd),Date,,,,,,,,,,,,,,,,,
,CO_320:0000725,FlwDate_80Flw_Date,FLW_DATE,,,"Standard CIAT, FLAR",RD:7.2.3.2,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000498,flowering date,Agronomical,Date of flowering,heading date,FlwDate,,Plant,flowering date,,,CO_320:0000565,Main flowering date observation,Measurement,"Monitor developing plants daily, and record the date on which 80% of the flowering heads have appeared",,RD:7.2.3.2,CO_320:0000970,ISO Date (yyyy-mm-dd),Date,,,,,,,,,,,,,,,,,
,CO_320:0000726,GallMidgeDam_EstGH_0to9,GALL_MIDGE_DAMAGE,,,,SES:65,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000199,gall midge damage,Biotic stress,The extent of plant damage caused by gall midge (Orseolia oryzae). Symptoms: light-colored tubular galls resembling an onion leaf on the youngest leaf of the shoot in a tiller.,gall midge,GallMidgeDam,,Gall midge,Damage,,"TO:0000423, IRIS:1155",CO_320:0000566,gall midge injury assessment greenhouse,Estimation,"In a greenhouse test, observe the proportion of plants with silver shoots. For the greenhouse test to be considered a valid measure of resistance, 60% of the plants of the susceptible check should show silver shoots",,SES:65,CO_320:0000971,gall midge injury scale greenhouse,Ordinal,,,,,0= No injury,1= Less than 5%,3= 6-10%,5= 11-20%,7= 21-50%,9= More than 50%,,,,,,,
,CO_320:0000727,GallMidgeDam_EstFld_0to9,GALL_MIDGE_DAMAGE,,,,SES:65,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000199,gall midge damage,Biotic stress,The extent of plant damage caused by gall midge (Orseolia oryzae). Symptoms: light-colored tubular galls resembling an onion leaf on the youngest leaf of the shoot in a tiller.,gall midge,GallMidgeDam,,Gall midge,Damage,,"TO:0000423, IRIS:1155",CO_320:0000382,gall midge injury assessment field,Estimation,"In a field test, observe the proportion of infected tillers. For the field test to be considered a valid measure of resistance, more than 60% of the plants of the susceptible check should be affected with not less than 15% silver shoot",,SES:65,CO_320:0000383,gall midge injury scale field,Ordinal,,,,,0= No injury or fewer than 10% of plants have injured tillers,1= Less than 1%,3= 1-5%,5 6-10%,7= 11-25%,9= More than 25%,,,,,,,
,CO_320:0000728,GelC_Meas_1to5,GELC,,,,"IRIS:35, RD:8.1.6, SES:132",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000106,gel consistency,Quality,"Describes the consistency of a rice gel formed by grinding, chemically treating, boiling, and cooling a sample of grains. This measures the tendency of cooked rice to harden on cooling, a function of carbohydrate composition",,GelC,,Gel,Consistency,,"TO:0000211, IRIS:1255",CO_320:0000244,gel consistency lab measurement,Measurement,"Place 0.1g ground rice in a test tube with thymol blue (0.025% in ethanol, 0.2 ml) and KOH (0.2N, 2 ml). Shake the tube to mix contents, boil (8 min), rest (5 min) and then place in an ice-bath (15 min). Lay cooled tubes flat on graph paper for 1 hour, and then measure the distance that the gel travels . Included standards, as the age of the rice, degree of milling and operator skill affect reproducibility: IR48 (85?90 mm), IR32 (72-75 mm) and IR42 (30-32 mm).",,"IRIS:35, RD:8.1.6, SES:132",CO_320:0000245,gel consistency scale,Ordinal,,,,,1= Soft 81-100 mm,2= Soft 61-80 mm,3= Intermediate 41-60 mm,4= Hard 36-40 mm,5= Hard <36 mm,,,,,,,,
,CO_320:0000729,GelC_Meas_mm,GELC,,,,SES:132,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000106,gel consistency,Quality,"Describes the consistency of a rice gel formed by grinding, chemically treating, boiling, and cooling a sample of grains. This measures the tendency of cooked rice to harden on cooling, a function of carbohydrate composition",,GelC,,Gel,Consistency,,"TO:0000211, IRIS:1255",CO_320:0000244,gel consistency lab measurement,Measurement,"Place 0.1g ground rice in a test tube with thymol blue (0.025% in ethanol, 0.2 ml) and KOH (0.2N, 2 ml). Shake the tube to mix contents, boil (8 min), rest (5 min) and then place in an ice-bath (15 min). Lay cooled tubes flat on graph paper for 1 hour, and then measure the distance that the gel travels . Included standards, as the age of the rice, degree of milling and operator skill affect reproducibility: IR48 (85?90 mm), IR32 (72-75 mm) and IR42 (30-32 mm).",,"IRIS:35, RD:8.1.6, SES:132",CO_320:0000456,mm,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000730,GelTemp_Alkd_1to7,GelTemp,,,"Standard CIAT, FLAR","IRIS:34, RD:8.1.4, SES:131",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000107,gelatinization temperature,Quality,"Temperature at which the starch in endosperm gelatinizes, one of the key indicators of cooking quality",,GelTemp,,Milled caryopsis,Gelatinization temperature,,"TO:0000462, IRIS:1256",CO_320:0000437,alkali digestion estimation,Estimation,"An indirect indicator of approximate gelatinization temperature. Incubate six milled rice grains (kernels) for 23h in 10ml of 1.7% KOH. Score individual kernels, without averaging",,"IRIS:34, RD:8.1.4, SES:131",CO_320:0000438,alkali digestion scale,Ordinal,,,,,"1= Kernel not affected but chalky, high gel temp (>74C)","2= Kernel swollen, high gel temp (>74C)","3= Kernel swollen with collar incomplete or narrow, high-intermediate gel temp","4= Kernel swollen with collar complete and wide, intermediate gel temp","5= Split or segmented with collar complete and wide, intermediate gel temp","6= Dispersed mergingwith collar, low gel temp (<70C)","7= Completely dispersed and cleared, low gel temp (<70C)",,,,,,
,CO_320:0000731,GelTemp_PkTemp_Deg,GelTemp,,,,RD:8.1.5,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000107,gelatinization temperature,Quality,"Temperature at which the starch in endosperm gelatinizes, one of the key indicators of cooking quality",,GelTemp,,Milled caryopsis,Gelatinization temperature,,"TO:0000462, IRIS:1256",CO_320:0000457,Peak temperature,Measurement,"Gradually heat a sample of milled rice using a Differential Scanning Calorimeter (DSC), which measures the energy expended to raise the temperature of starch crystals as they gelatinize and melt. The temperature at which energy expenditure is maximum (peak temperature) provides a precise measure of gelatinization temperature.",,RD:8.1.5,CO_320:0000458,degrees C,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000732,GlOp_Av_deg,GLO,,,"Standard CIAT, FLAR",SES:26,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000094,glume opening,Agronomical,The extent to which the glumes (i.e. the lemma and palea) of a floret open during blooming,,GlOp,,Glume,Opening,,"TO:0000474, IRIS:1025",CO_320:0000544,glume opening angle,Computation,"Collect 5-10 blooming florets of a male sterile line from different plants and measure the average angle of the opening between glumes (viz., lemma and palea)",,"IRIS:167, SES:26",CO_320:0000947,degrees,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000733,GlOp_Av_1to9,GLO,,,,"IRIS:167, SES:26",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000094,glume opening,Agronomical,The extent to which the glumes (i.e. the lemma and palea) of a floret open during blooming,,GlOp,,Glume,Opening,,"TO:0000474, IRIS:1025",CO_320:0000544,glume opening angle,Computation,"Collect 5-10 blooming florets of a male sterile line from different plants and measure the average angle of the opening between glumes (viz., lemma and palea)",,"IRIS:167, SES:26",CO_320:0000948,glume opening scale,Ordinal,,,,,1= above 50 degrees,3= 40-49 degrees,5= 30-39 degrees,7= 20-29 degrees,9= Below 20 degrees,,,,,,,,
,CO_320:0000734,GrDiscol_Est_0to9,GRAIN_DISCOLORATION,,,"Standard CIAT, FLAR","IRIS:55, SES:39",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000499,grain discoloration,Biotic stress,"The extent of discoloration of glumes caused by species of Sarocladium, Bipolaris, Alternaria, Gerlachia, Fusarium, Phoma, Curcularia, Trichoconiella, and Pseudomonas. Symptoms: Darkening of glumes of spikelets, brown color to black including rotten glumes. Intensity ranges from sporadic discoloration to discoloration of the whole glume",grain discoloration,GrDiscol,,Grain,Discoloration by fungal diseases,,,CO_320:0000567,grain discoloration incidence estimation,Estimation,Estimate the proportion of glumes that are discoloured,,"IRIS:55, SES:39",CO_320:0000972,grain discoloration incidence scale,Ordinal,,,,,0= No incidence,1= Less than 1%,2=,3= 1-5%,4=,5= 6-25%,6=,7= 26-50%,8=,9= 51-100%,,,
,CO_320:0000735,GrElong_Comp_ratio,,,,,"IRIS:122, RD:8.1.10",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000105,grain elongation,Quality,The extend to which grains elongate during cooking. High elongation is typical of basmati types of rice,,GrElong,,Grain,Elongation,,TO:0000377,CO_320:0000568,grain elongation ratio,Computation,Measure the ratio of the length of cooked to uncooked polished (white) rice grains,,"IRIS:122, RD:8.1.10",CO_320:0000973,cm/cm,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000736,GrLng_Av_mm,GRL,,,,"IRIS:36, RD:7.5.15, SES:121",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000004,grain length,Quality,"Length of whole grain including the hull, defined as the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea",,GrLng,GRLT,Spikelet,Length,,"TO:0000146, TO:0002761, IRIS:1051",CO_320:0000304,Average grain length,Computation,"Use calliper, photo-enlarger or high-resolution (true 2400dpi) images to measure the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea. In the case of awned varieties, measure to a point comparable to the tip of the apiculus, i.e. excluding the awn. Calculate the mean of 10 representative grains",,"IRIS:36, RD:7.5.15, SES:121",CO_320:0000305,mm,Numerical,,,,IRIS_SCALE:14,,,,,,,,,,,,,
,CO_320:0000737,GrLng_Meas_1to7,GRL,,,Obsolete,"IRIS:36, UPOV:54",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000004,grain length,Quality,"Length of whole grain including the hull, defined as the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea",,GrLng,GRLT,Spikelet,Length,,"TO:0000146, TO:0002761, IRIS:1051",CO_320:0000459,Grain length UPOV,Measurement,"Measure the mean distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea. In the case of awned varieties, measure to a point comparable to the tip of the apciculus",,"IRIS:36, UPOV:54",CO_320:0000460,Grain length score,Ordinal,,,,IRIS_SCALE:14,1= Extra long more than 7.5 mm,3= Long 6.6 to 7.5 mm,5= Medium 5.51-6.6 mm,7= Short 5.5mm or less,,,,,,,,,
,CO_320:0000738,GrLng_Av_1to7,GRL,,,"Standard CIAT, FLAR","IRIS:36, UPOV:54",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000004,grain length,Quality,"Length of whole grain including the hull, defined as the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea",,GrLng,GRLT,Spikelet,Length,,"TO:0000146, TO:0002761, IRIS:1051",CO_320:0000304,Average grain length,Computation,"Use calliper, photo-enlarger or high-resolution (true 2400dpi) images to measure the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea. In the case of awned varieties, measure to a point comparable to the tip of the apiculus, i.e. excluding the awn. Calculate the mean of 10 representative grains",,"IRIS:36, RD:7.5.15, SES:121",CO_320:0000460,Grain length score,Ordinal,,,,IRIS_SCALE:14,1= Extra long more than 7.5 mm,3= Long 6.6 to 7.5 mm,5= Medium 5.51-6.6 mm,7= Short 5.5mm or less,,,,,,,,,
,CO_320:0000739,GrThk_Av_mm,GRAIN_THICKNESS,,,,"IRIS:568, RD:7.5.17",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000020,grain thickness,Morphological,Thickness of grain with hull,,GrThk,GRTH,Spikelet,Thickness,,"TO:0000304, TO:0000399, IRIS:1264",CO_320:0000308,average grain thickness,Computation,"Wild species: using a calliper or photo-enlarger, measure the average of 10 representative grains",,"IRIS:568, RD:7.5.17",CO_320:0000309,mm,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000740,GrnWt_100Wgh_g,"GRNWT, GRWT",,,"Standard CIAT, FLAR","IRIS:286, RD:7.5.18, SES:127",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000100,Grain weight,Agronomical,The weight of a whole grain including the hull,,GrnWt,GRWT,Spikelet,Weight,,"TO:0000181, IRIS:1264",CO_320:0000310,100 grain weight measurement,Measurement,"Cultivated species: take a random sample of 100 well-developed, whole grains, dried to 13% moisture content, and weigh on a precision balance",,"IRIS:286, RD:7.5.18, SES:127",CO_320:0000311,g,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000741,GrnWt_1000Wgh_1to7,"GRNWT, GRWT",,,"Standard CIAT, FLAR","IRIS:128, UPOV:53",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000100,Grain weight,Agronomical,The weight of a whole grain including the hull,,GrnWt,GRWT,Spikelet,Weight,,"TO:0000181, IRIS:1264",CO_320:0000439,1000 grain (14%MC)weight measurement,Measurement,"Weigh a random sample of 1000 well-developed, whole grains dried to 14% moisture content",,"IRIS:128, UPOV:53",CO_320:0000440,1000 grain weight scale,Ordinal,,,,,3= Low,5= Medium,7= High,,,,,,,,,,
,CO_320:0000742,GrnWt_10Wgh_g,"GRNWT, GRWT",,,,RD:7.5.19,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000100,Grain weight,Agronomical,The weight of a whole grain including the hull,,GrnWt,GRWT,Spikelet,Weight,,"TO:0000181, IRIS:1264",CO_320:0000569,10 grain weight measurement,Measurement,"Wild species: take a random sample of 10 well-developed, whole grains, dried to 13% moisture content, and weigh on a precision balance",,RD:7.5.19,CO_320:0000974,g,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000743,GrWdt_Av_mm,GRW,,,,"IRIS:37, RD:7.5.16, SES:122",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000005,grain width,Quality,"Width of whole grain including the hull, defined as the distance across the fertile lemma and the palea at the widest point",,GrWdt,GRWD,Spikelet,Width,,"TO:0000402, TO:0002762, TO:0000149, IRIS:1052",CO_320:0000306,Average grain width,Computation,"Use calliper, photo-enlarger or high-resolution (true 2400dpi) images to measure the distance across the fertile lemma and the palea at the widest point. Calculate the mean of 10 representative grains",,"IRIS:37, RD:7.5.16, SES:122",CO_320:0000307,mm,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000744,GrWdt_Meas_1to7,GRW,,,"Standard CIAT, FLAR",UPOV:55,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000005,grain width,Quality,"Width of whole grain including the hull, defined as the distance across the fertile lemma and the palea at the widest point",,GrWdt,GRWD,Spikelet,Width,,"TO:0000402, TO:0002762, TO:0000149, IRIS:1052",CO_320:0000467,grain width UPOV estimation,Measurement,Measure the distance across the fertile lemma and the palea at the widest point,,UPOV:55,CO_320:0000468,grain width UPOV scale,Ordinal,,,,,3= Narrow,5= Medium,7= Broad,,,,,,,,,,
,CO_320:0000745,GrYld_Comp_kgha,GrYld_Comp_kgha,,,"Standard CIAT, FLAR","IRIS:30, SES:12",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000073,Grain yield,Agronomical,amount of grain (weight) produced per area,,GY,GrYld,Spikelet,Yield,,TO:0000396,CO_320:0000469,Yield measurement,Computation,"Harvest grain from at least 5 m2/plot, discarding at least three border rows. Thresh, dry the rough (paddy) rice to 14% moisture content, and weigh.",,"IRIS:30, SES:12",CO_320:0000470,kg per ha,Numerical,,,,IRIS_SCALE:9,,,,,,,,,,,,,
,CO_320:0000746,GrYld_wgh_gplot,GrYld_wgh_gplot,,,,"IRIS:30,",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000073,Grain yield,Agronomical,amount of grain (weight) produced per area,,GY,GrYld,Spikelet,Yield,,TO:0000396,CO_320:0000570,AYLD_CONT method,Measurement,Record the actual grain yield grain harvested on a plot.,,"IRIS:30,",CO_320:0000975,g per plot,Numerical,,,,IRIS_SCALE:851,,,,,,,,,,,,,
,CO_320:0000747,RGSV1Sev_Est_1to9,RGSV1,,,,"IRIS:46, SES:36",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000179,grassy stunt 1 disease,Biotic stress,"The type and severity of grassy stunt symptoms caused by the grassy stunt 1 virus (RGSV1). Symptoms: severe stunting, excessive tillering, pale green to yellow and narrow leaves with small rusty spots",rice grassy stunt 1 disease,RGSV1Sev,,Grassy stunt 1,Severity,,"TO:0000213, TO:0000127, IRIS:1108",CO_320:0000352,grassy stunt 1 disease estimation,Estimation,"Estimate the stunting, tillering, spots and discoloration",,"IRIS:46, SES:36",CO_320:0000353,grassy stunt 1 disease scale,Ordinal,,,,IRIS_SCALE:25,1= No symptom observed,"3= Pale green and slightly narrow leaves, no height reduction and with few small tillers.","5= Pale green and slightly narrow leaves, 1-10% height reduction, and with numerous small tillers.","7= Pale green to yellow and narrowleaves with some rusty spots, 11-30% height reduction, and withnumerous small tillers","9= Pale green to yellow and narrow leaves with numerous rusty spots, more than 30% height reduction and with numerous small tillers",,,,,,,,
,CO_320:0000748,RGSV1Sev_Index_Pct,RGSV1,,,,"IRIS:46, SES:36",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000179,grassy stunt 1 disease,Biotic stress,"The type and severity of grassy stunt symptoms caused by the grassy stunt 1 virus (RGSV1). Symptoms: severe stunting, excessive tillering, pale green to yellow and narrow leaves with small rusty spots",rice grassy stunt 1 disease,RGSV1Sev,,Grassy stunt 1,Severity,,"TO:0000213, TO:0000127, IRIS:1108",CO_320:0000754,grassy stunt 1 disease index,Computation,"Grow plants in a greenhouse. Inoculate seedlings. Score RGSV1Sev_Est_1to9 after 5 weeks, and calculate Disease Index DI= (20xN3 + 40xN5 + 70xN7 + 100xN9)/NT, where N3-N9 are the number of plants with score 3-9 and NT is total number of plants scored",,"IRIS:46, SES:36",CO_320:0000981,%,Numerical,,,,IRIS_SCALE:61,,,,,,,,,,,,,
,CO_320:0000749,RGSV2Sev_Index_Pct,RGSV2,,,,"IRIS:46, SES:36",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000500,grassy stunt 2 disease,Biotic stress,"The type and severity of grassy stunt symptoms caused by the grassy stunt 2 virus (RGSV2). Symptoms: severe stunting, excessive tillering, yellow to orange and narrow leaves with small rusty spots",rice grassy stunt 2 disease,RGSV2Sev,,Grassy stunt 2,Severity,,"TO:0000213, TO:0000126",CO_320:0000755,grassy stunt 2 disease index,Computation,"Grow plants in a greenhouse. Inoculate seedlings. Score RGSV2Sev_Est_1to9 after 5 weeks, and calculate Disease Index DI= (20xN3 + 40xN5 + 70xN7 + 100xN9)/NT, where N3-N9 are the number of plants with score 3-9 and NT is total number of plants scored",,"IRIS:46, SES:36",CO_320:0000982,%,Numerical,,,,IRIS_SCALE:61,,,,,,,,,,,,,
,CO_320:0000750,RGSV2Sev_Est_1to9,RGSV2,,,,"IRIS:120, SES:36",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000500,grassy stunt 2 disease,Biotic stress,"The type and severity of grassy stunt symptoms caused by the grassy stunt 2 virus (RGSV2). Symptoms: severe stunting, excessive tillering, yellow to orange and narrow leaves with small rusty spots",rice grassy stunt 2 disease,RGSV2Sev,,Grassy stunt 2,Severity,,"TO:0000213, TO:0000126",CO_320:0000756,grassy stunt 2 disease estimation,Estimation,"Estimate the stunting, tillering, spots and discoloration",,"IRIS:120, SES:36",CO_320:0000983,grassy stunt 2 disease scale,Ordinal,,,,IRIS_SCALE:25,1= No symptom observed,"3= Pale green and slightly narrow leaves, no height reduction and with numerous small tillers.","5= Distinctly yellow and narrow leaves, 1-10% height reduction, and with numerous small tillers.","7= Yellow to orange and narrowleaves with some rusty spots, 11-30% height reduction, and withfew small tillers","9= Yellow to orange and narrow leaves with numerous rusty spots, more than 30% height reduction and with few small tillers",,,,,,,,
,CO_320:0000751,GLhDam_EstGH_0to9,GLH,,,,"IRIS:40, SES:61",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000200,green leafhopper damage,Biotic stress,The extent of damage caused by green leafhopper (Nephotettix virescens and Nephotettix cincticeps). Symptoms: partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy.,green leafhopper,GLhDam,,Green leafhopper,Damage,,TO:0000212,CO_320:0000372,green leafhopper injury assessment greenhouse,Estimation,"Sow plants in a greenhouse with a uniform high population of green leafhopper, and observe the damage on the seedlings",,"IRIS:40, SES:61",CO_320:0000373,green leafhopper injury scale greenhouse,Ordinal,,,,,0= No injury,1= Very slight injury,3= First and 2nd leaves yellowing,"5= All leaves yellow, pronounced stunting or both","7= More than half the plants dead, remaining plants wilting and severely stunted",9= All plants dead,,,,,,,
,CO_320:0000752,GLhDam_EstFld_0to9,GLH,,,,SES:61,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000200,green leafhopper damage,Biotic stress,The extent of damage caused by green leafhopper (Nephotettix virescens and Nephotettix cincticeps). Symptoms: partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy.,green leafhopper,GLhDam,,Green leafhopper,Damage,,TO:0000212,CO_320:0000757,green leafhopper injury assessment field,Estimation,"observe the damage on the seedlings caused by green leafhopper. For a field test, use an augmented experimental design with a susceptible check replicated at intervals across the whole trial. The test is considered a valid test for resistance if the hopper population is uniformly distributed at a high level across the screening box, as indicated by hopper counts on the susceptible check. A minimum of the following hopper density on susceptible check is necessary: a. 10 hoppers/hill at 10-15 days after transplanting, b. 25 hoppers / hiII at maximum tillering, c. 100 hoppers/hill at early booting stage",,SES:61,CO_320:0000984,green leafhopper injury scale field,Ordinal,,,,,0= No damage,1= Very slight damage,3= First and 2nd leaves yellowing,"5= All leaves yellow, pronounced stunting or both","7= More than half the plants dead, remaining plants wilting and severely stunted",9= All plants dead,,,,,,,
,CO_320:0000810,NBLSDam_Est_0to9,NBLS,,,,"IRIS:51, SES:33",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000182,narrow brown leaf spot damage,Biotic stress,The type and severity of narrow brown leaf spot symptoms on leaves caused by the fungal pathogen Sphaerulina oryzina (Cercospora janseana),narrow brown leaf spot,NBLSDam,,Narrow brown leaf spot,Damage,,"TO:0000422, IRIS:1111",CO_320:0000344,narrow brown leaf spot estimation,Estimation,Estimate the % leaf area diseased,,"IRIS:51, SES:33",CO_320:0000345,narrow brown leaf spot scale,Ordinal,,,,,0= No disease observed,1= Less than 1%,2=,3= 1-5%,4=,5= 6-25%,6=,7= 26-50%,8=,9= 51-100%,,,
,CO_320:0000811,OutXExt_Comp_1to9,,,,,"IRIS:199, SES:23",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000508,Outcrossing extent,Fertility,Describes the extent of outcrossing of male sterile lines,,OutXExt,,Plant,Outcrossing extent,,TO:0000330,CO_320:0000780,outcrossing calculation,Computation,"Grow the male sterile line in the field, ensuring an abundant supply of pollen from other plants while it is flowering. Calculate the proportion of seed set on the out-pollinated primary panicles",,"IRIS:199, SES:23",CO_320:0000592,outcrossing scale,Ordinal,,,,,1= above 30% seed set,3= 20-29.9% seed set,5= 10-19.9% seed set,7= 5-9.9% seed set,9= 0-4.9% seed set,,,,,,,,
,CO_320:0000812,PanAxAtt_Est_UPOV1to2,PANICLE_AXIS,,,,"IRIS:621, RD:7.4.19, UPOV:39",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000035,panicle axis attitude,Morphological,"The attitude of the main axis of the panicle, which ranges from straight upright to droopy",Panicle attitude,PanAxAtt,PA,Panicle axis,Attitude,,"TO:0000342, IRIS:1084",CO_320:0000422,panicle axis observation,Estimation,Observe the attitude of the main axis of the panicle,,"IRIS:621, RD:7.4.19, UPOV:39, SES:112",CO_320:0000913,panicle axis scale UPOV,Nominal,,,,,1= Upright,2= Semi-upright,3= Slightly Drooping,4= Strongly drooping,,,,,,,,,
,CO_320:0000813,PanAxAtt_Est_SES1to4,PANICLE_AXIS,,,,"IRIS:621, SES:112",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000035,panicle axis attitude,Morphological,"The attitude of the main axis of the panicle, which ranges from straight upright to droopy",Panicle attitude,PanAxAtt,PA,Panicle axis,Attitude,,"TO:0000342, IRIS:1084",CO_320:0000422,panicle axis observation,Estimation,Observe the attitude of the main axis of the panicle,,"IRIS:621, RD:7.4.19, UPOV:39, SES:112",CO_320:0000423,No scale name found,Nominal,,,,,1= Straight,2= Droopy,,,,,,,,,,,
,CO_320:0000814,PanAxText_Est_1or2,PA_TEXT,,,,RD:7.4.16,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000128,panicle axis texture,Morphological,Texture of the main axis of the panicle,,PanAxText,,Panicle axis,Texture,,TO:0002754,CO_320:0000781,Panicle axis texture assessment,Estimation,Wild species: assess the texture of the main panicle axis by rubbing fingers from the base towards the tip and assess the smoothness,,RD:7.4.16,CO_320:0000593,Panicle axis texture scale,Nominal,,,,,1= Scabrous,2= Smooth,,,,,,,,,,,
,CO_320:0000815,PanBrNo_Av_BrPan,"pbasbrno, PBPan_MM_BrPan",Source-sink traits,Maturity [PO:0007038],Standard GRISP Phenotyping Network,RD:7.4.14,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000509,panicle basal branch number,Morphological,Number of primary branches on the basal whorl of the panicle,,PanN,PBPan,Panicle basal branch,Number,,TO:0000547,CO_320:0000782,Average panicle basal branch number,Computation,"Count the number of primary panicle branches attached to the basal whorl of representative panicles, and calculate the average",,RD:7.4.14,CO_320:0000594,Branches per panicle,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000816,PBDam_Est_0to9,PB,,,"Standard CIAT, FLAR","IRIS:158, SES:31",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000510,panicle blast damage,Biotic stress,"The type and severity of panicle blast symptoms caused by the fungal pathogen Magnaporthe grisea (Pyricularia oryzae). Symptoms: Dark, necrotic lesions cover partially or completely around the panicle base (node) or the uppermost internode or the lower part pf panicle axis. The panicles are greyish and have either partially filled or unfilled grains","panicle blast, neck blast",PBDam,,Panicle blast,Damage,,"TO:0000477, IRIS:1119",CO_320:0000783,panicle blast damage estimation,Estimation,Observe the damage to panicles,,"IRIS:158, SES:31",CO_320:0000595,panicle blast damage scale,Ordinal,,,,,0= No visible lesion observed or lesions on only a few pedicels,1= Lesions on several pedicels or secondary branches,2=,3= Lesion on a few primary branches or the middle part of panicle axis,4=,5= Lesion partially around the base (node) or the uppermost internode or the lower part of panicle axis near the base,6=,7= Lesion completely around panicle base or uppermost internode or panicle axis near base with more than 30% of filled grains,8=,9= Lesion completely around panicle baseor uppermost internode or the panicle axis near the base with less than 30% of filled grains.,,,
